prompt,completion
"Jag har skapat ett konto men inte fått ett lösenord

###

"," För att värna om din trygghet granskar vi vissa registreringar manuellt. Detta kommer ske inom 24 timmar, men går oftast mycket fortare än så. Så snart ditt konto är godkänt får du ett e-postmeddelande med ett lösenord skickat till dig. Har du inte fått e-postmeddelandet och det har gått mer än 24 timmar, kontakta vår kundservice så hjälper vi dig.###"
"Jag har ny e-postadress och kan inte logga in

###

", Klicka här och få tillgång till ditt konto via personnummer. Du kan sedan välja att verifiera dig med BankID och uppdatera din mejladress. ###
"Jag har glömt mitt lösenord, hur gör jag?

###

"," Du kan beställa ett nytt lösenord genom att klicka här. Du kan där ange din mejladress för att återställa ditt lösenord, alternativt ange ditt personnummer för fler alternativ, såsom BankID-verifiering.###"
"Ber Tradera om BankID-verifiering?

###

"," I vissa fall kan vi komma att be våra medlemmar verifiera sig med BankID. Detta gör vi för att vara säkra på att det verkligen är rätt person som använder kontot och att utomstående inte kan använda ditt konto.Tänk på att endast verifiera dig med BankID när du själv försöker göra någonting på ditt konto, som att till exempel ladda upp en annons, byta lösenord eller lägga till ett kontonummer för betalning.Verifiera dig aldrig på uppmaning av någon annan, framförallt om den personen kontaktat dig. Lämna inte heller ut din säkerhetskod till BankID, lösenord eller andra koder som skickas till dig via SMS eller e-post.###"
"Varför måste jag verifiera mig med BankID?

###

", Tillsammans med dig skapar vi ett tryggare Tradera. Genom att använda BankID kan du känna dig trygg att personer du gör affärer med verkligen är den de utger sig för att vara. Det skyddar också ditt konto genom att utomstående inte kan komma åt det eller göra ändringar.###
"Hur verifierar jag mig med BankID?

###

"," 1. När du blir ombedd att verifiera dig, klicka på ""Fortsätt"".2. Nu startas en legitimering på BankID, öppna din BankID-applikation på mobil, surfplatta eller dator. 3. Öppna BankID och skriv in din kod. 4. Klart, du har nu slutfört verifieringen!###"
"Hur gör jag för att importera en CSV-fil i Sello?

###

"," Klicka på ”Administration” och välj ”Import”. Därefter väljer du att importera från CSV-fil. I Sello finns en förklaring för hur detta fungerar samt hur en CSV-fil ska vara uppbyggd. Känner du inte till detta sedan tidigare, läs gärna förklaringen samt ladda ned exempelfilen. Skapa sedan en egen CSV-fil från det säljverktyg eller den webbshop du använder.När du har en färdig CSV-fil, leta upp filen på din dator och ladda upp den. Nu är CSV-filen inlagd i Sello och det som återstår är att matcha dina kolumner mot Sellos kolumner.Alla dina produkter hamnar i ditt lager.###"
"Hur använder jag en mall i Sello när jag skapar en ny vara?

###

"," För att lägga in en mall, gå in på ”Skapa ny produkt” och ”Beskrivning”. I menyn ”Objektmall” väljer du den mall du vill använda.Observera att den mall du väljer kommer då att bli objektsbeskrivningen i denna vara och helt ersätta den text du eventuellt skriver in i fältet ”Produktbeskrivning”.Om du vill ha en mall som bara är en del av din objektsbeskrivning, där du även vill skriva in ny text som inte ingår i mallen ska du använda variabeln !OBJEKTBESKRIVNING överst i din mall. Denna lägger du till när du skapar mallen inne på ”Inställningar”/”Objektmallar”. Det som händer då är att all text du skriver in i ”Produktbeskrivning” kommer läggas in överst i din annons och under det kommer din mall läggas in.###"
"Vad händer om jag har betalat för mycket när jag betalade fakturan?

###

"," Om du har betalat ett högre belopp än vad som står på fakturan, alternativt om något har krediterats från din faktura efter att du har betalat, så kommer överskottsumman att finnas till godo på din nästkommande faktura.###"
"Hur skaffar jag Sello?

###

"," Registrera ett konto på Sello genom att klicka här. Ange samma inloggningsuppgifter som på Tradera så skapas ett konto hos Sello som automatiskt kopplas ihop med ditt Traderakonto. Första gången du gör detta importeras alla dina aktiva auktioner, fastprisannonser samt butiksobjekt från Tradera.Om du vill kan du också importera dina avslutade annonser. Klicka på ”Administration” och välj ”Import”. Välj ”Importera” under Traderaloggan och därefter ”Aktiva och avslutade auktioner och butiksobjekt”. Nu importeras alla objekt från de senaste 60 dagarna till Sello.De objekt du valt att importera kommer nu att finnas tillgängliga under ”lager”.###"
"Kan jag skjuta upp min faktura?

###

", Det är inte möjligt att skjuta upp en faktura. Betalas fakturan efter förfallodatum tillkommer en påminnelseavgift. Se dina fakturor här.###
"Hur hanterar jag mina butiksinställningar?

###

"," Gå till inställningar och tryck på ditt alias i menyn. Här anpassar du vilka betalningsalternativ som ska gälla för alla dina annonser. Du bestämmer även var du vill sälja (inom Sverige, inom EU eller Internationellt). Du kan även ställa in vilka samfraktsregler du vill använda. Nästa flik att titta på är ”Butik”. Här kan du anpassa din företagsinformation, köpvillkor samt kontaktinformation. Det du skriver in här syns utåt för de köpare som tittar in i din butik på Tradera.###"
"Hur ska jag ställa in status i Sello för att det ska bli rätt i mina ordrar?

###

", För att det ska bli rätt med status för orderhantering är det viktigt att du väljer rätt inställningar för statusen beroende på i vilket skede i orderhanteringen den kommer att användas.En order har några olika steg som den går igenom i Sello från att en vara blir köpt.Ordern är aktiv/under behandlingOrdern är aktiv/under behandling och betaladOrdern är levereradOrdern är levererad och betaladDu kan dela upp dina statusar i olika färger för att få en lätt överblicksvy av dina ordrar.###
,
